Measurement_Field,Count
bms_state_limits.count_battery_dischrg_status,237139
bms_state_limits.count_battery_mpe_status,237139
bms_state_limits.count_ready_power_status,237139
bms_state_limits.count_chrg_power_status,237139
bms_state_limits.count_battery_dischrg_limit,237139
bms_state_limits.count_battery_chrg_limit,237139
bms_state_limits.count_chrg_interlock_state,237139
bms_state_limits.count_chrg_status,0
bms_state_limits.count_chrgr_highest_voltage,0
bms_state_limits.count_chrgr_highest_current,0
bms_state_limits.count_j1772_current_limit,47754
bms_state_limits.count_j1772_plug_state,47754
bms_battery_usage.count_battery_current,459214
bms_battery_usage.count_battery_voltage,459214
bms_battery_weather.count_battery_soc,23879
bms_battery_weather.count_battery_amp_hours,23879
bms_battery_weather.count_battery_highest_temp,23879
bms_battery_weather.count_highest_temp_thermistor_id,23879
bms_battery_weather.count_battery_lowest_temp,23879
bms_battery_weather.count_lowest_temp_thermistor_id,23879
bms_battery_weather.count_battery_average_temp,23879
bms_battery_weather.count_bms_temp,23879
bms_battery_weather.count_battery_adaptive_soc,23879
bms_battery_weather.count_battery_adaptive_amp_hours,23879
bms_battery_weather.count_auxilary_battery_voltage,23879
charger_state_limits.count_chrgr_output_voltage,0
charger_state_limits.count_chrgr_output_current,0
charger_state_limits.count_chrgr_temp,0
charger_state_limits.count_chrgr_hardware_error_status,0
charger_state_limits.count_chrgr_temp_error_status,0
charger_state_limits.count_chrgr_input_voltage_error_status,0
charger_state_limits.count_chrgr_communication_error_status,0
bms_fault_and_safety_state.count_voltage_fail_safe_active,47758
bms_fault_and_safety_state.count_current_fail_safe_active,47758
bms_fault_and_safety_state.count_relay_fail_safe_active,47758
bms_fault_and_safety_state.count_cell_balancing_active_non_fail_safe_mode,47758
bms_fault_and_safety_state.count_chrg_interlock_fail_safe_active,47758
bms_fault_and_safety_state.count_thermistor_b_value_table_invalid,47758
bms_fault_and_safety_state.count_input_power_supply_fail_safe_active,47758
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_low_soc,47758
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_high_cell_resistance,47758
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_temp,47758
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_low_cell_voltage,47758
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_low_pack_voltage,47758
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_voltage_fail_safe,47758
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_communication_fail_safe,47758
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_high_soc,47758
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_high_cell_resistance,47758
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_temp,47758
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_high_cell_voltage,47758
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_high_pack_voltage,47758
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_chrg_latch,47758
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_alternate_current_limit,47758
bms_fault_and_safety_state.count_dischrg_limit_enforcement_fault,47758
bms_fault_and_safety_state.count_chrgr_safety_relay_fault,47758
bms_fault_and_safety_state.count_internal_hardware_fault,47758
bms_fault_and_safety_state.count_internal_heatsink_thermistor_fault,47758
bms_fault_and_safety_state.count_internal_software_fault,47758
bms_fault_and_safety_state.count_highest_cell_voltage_too_high_fault,47758
bms_fault_and_safety_state.count_lowest_cell_voltage_too_low_fault,47758
bms_fault_and_safety_state.count_pack_too_hot_fault,47758
bms_fault_and_safety_state.count_internal_communication_fault,47758
bms_fault_and_safety_state.count_cell_balancing_stuck_off_fault,47758
bms_fault_and_safety_state.count_weak_cell_fault,47758
bms_fault_and_safety_state.count_low_cell_voltage_fault,47758
bms_fault_and_safety_state.count_open_wiring_fault,47758
bms_fault_and_safety_state.count_current_sensor_fault,47758
bms_fault_and_safety_state.count_highest_cell_voltage_over_5v_fault,47758
bms_fault_and_safety_state.count_cell_asic_fault,47758
bms_fault_and_safety_state.count_weak_pack_fault,47758
bms_fault_and_safety_state.count_fan_monitor_fault,47758
bms_fault_and_safety_state.count_thermistor_fault,47758
bms_fault_and_safety_state.count_external_communication_fault,47758
bms_fault_and_safety_state.count_redundant_power_supply_fault,47758
bms_fault_and_safety_state.count_high_voltage_isolation_fault,47758
bms_fault_and_safety_state.count_input_power_supply_fault,47758
bms_fault_and_safety_state.count_chrg_limit_enforcement_fault,47758
bms_cell_values.count_cell_id,237736
bms_cell_values.count_cell_voltage,237736
bms_cell_values.count_cell_internal_resistance,237736
bms_cell_values.count_cell_open_voltage,237736
bms_cell_values.count_cell_shunt_status,237736
bms_battery_health.count_battery_adaptive_total_capacity,47758
bms_battery_health.count_battery_soh,47758
bms_battery_health.count_battery_total_cycles,47758
