Measurement_Field,Count
bms_state_limits.count_battery_dischrg_status,17843
bms_state_limits.count_battery_mpe_status,17843
bms_state_limits.count_ready_power_status,17843
bms_state_limits.count_chrg_power_status,17843
bms_state_limits.count_battery_dischrg_limit,17843
bms_state_limits.count_battery_chrg_limit,17843
bms_state_limits.count_chrg_interlock_state,17843
bms_state_limits.count_chrg_status,0
bms_state_limits.count_chrgr_highest_voltage,0
bms_state_limits.count_chrgr_highest_current,0
bms_state_limits.count_j1772_current_limit,3601
bms_state_limits.count_j1772_plug_state,3601
bms_battery_usage.count_battery_current,34625
bms_battery_usage.count_battery_voltage,34625
bms_battery_weather.count_battery_soc,1800
bms_battery_weather.count_battery_amp_hours,1800
bms_battery_weather.count_battery_highest_temp,1800
bms_battery_weather.count_highest_temp_thermistor_id,1800
bms_battery_weather.count_battery_lowest_temp,1800
bms_battery_weather.count_lowest_temp_thermistor_id,1800
bms_battery_weather.count_battery_average_temp,1800
bms_battery_weather.count_bms_temp,1800
bms_battery_weather.count_battery_adaptive_soc,1800
bms_battery_weather.count_battery_adaptive_amp_hours,1800
bms_battery_weather.count_auxilary_battery_voltage,1800
charger_state_limits.count_chrgr_output_voltage,0
charger_state_limits.count_chrgr_output_current,0
charger_state_limits.count_chrgr_temp,0
charger_state_limits.count_chrgr_hardware_error_status,0
charger_state_limits.count_chrgr_temp_error_status,0
charger_state_limits.count_chrgr_input_voltage_error_status,0
charger_state_limits.count_chrgr_communication_error_status,0
bms_fault_and_safety_state.count_voltage_fail_safe_active,3601
bms_fault_and_safety_state.count_current_fail_safe_active,3601
bms_fault_and_safety_state.count_relay_fail_safe_active,3601
bms_fault_and_safety_state.count_cell_balancing_active_non_fail_safe_mode,3601
bms_fault_and_safety_state.count_chrg_interlock_fail_safe_active,3601
bms_fault_and_safety_state.count_thermistor_b_value_table_invalid,3601
bms_fault_and_safety_state.count_input_power_supply_fail_safe_active,3601
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_low_soc,3601
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_high_cell_resistance,3601
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_temp,3601
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_low_cell_voltage,3601
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_low_pack_voltage,3601
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_voltage_fail_safe,3601
bms_fault_and_safety_state.count_dischrg_current_limit_reduced_due_to_communication_fail_safe,3601
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_high_soc,3601
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_high_cell_resistance,3601
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_temp,3601
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_high_cell_voltage,3601
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_high_pack_voltage,3601
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_chrg_latch,3601
bms_fault_and_safety_state.count_chrg_current_limit_reduced_due_to_alternate_current_limit,3601
bms_fault_and_safety_state.count_dischrg_limit_enforcement_fault,3601
bms_fault_and_safety_state.count_chrgr_safety_relay_fault,3601
bms_fault_and_safety_state.count_internal_hardware_fault,3601
bms_fault_and_safety_state.count_internal_heatsink_thermistor_fault,3601
bms_fault_and_safety_state.count_internal_software_fault,3601
bms_fault_and_safety_state.count_highest_cell_voltage_too_high_fault,3601
bms_fault_and_safety_state.count_lowest_cell_voltage_too_low_fault,3601
bms_fault_and_safety_state.count_pack_too_hot_fault,3601
bms_fault_and_safety_state.count_internal_communication_fault,3601
bms_fault_and_safety_state.count_cell_balancing_stuck_off_fault,3601
bms_fault_and_safety_state.count_weak_cell_fault,3601
bms_fault_and_safety_state.count_low_cell_voltage_fault,3601
bms_fault_and_safety_state.count_open_wiring_fault,3601
bms_fault_and_safety_state.count_current_sensor_fault,3601
bms_fault_and_safety_state.count_highest_cell_voltage_over_5v_fault,3601
bms_fault_and_safety_state.count_cell_asic_fault,3601
bms_fault_and_safety_state.count_weak_pack_fault,3601
bms_fault_and_safety_state.count_fan_monitor_fault,3601
bms_fault_and_safety_state.count_thermistor_fault,3601
bms_fault_and_safety_state.count_external_communication_fault,3601
bms_fault_and_safety_state.count_redundant_power_supply_fault,3601
bms_fault_and_safety_state.count_high_voltage_isolation_fault,3601
bms_fault_and_safety_state.count_input_power_supply_fault,3601
bms_fault_and_safety_state.count_chrg_limit_enforcement_fault,3601
bms_cell_values.count_cell_id,17781
bms_cell_values.count_cell_voltage,17781
bms_cell_values.count_cell_internal_resistance,17781
bms_cell_values.count_cell_open_voltage,17781
bms_cell_values.count_cell_shunt_status,17781
bms_battery_health.count_battery_adaptive_total_capacity,3601
bms_battery_health.count_battery_soh,3601
